Title,Price,Configuration
Inspiron 15 Plus Laptop,"₹ 1,14,989.98","11th Gen Intel® Core™ i7-11800H|Windows 11 Home Single Language|NVIDIA® GeForce RTX™ 3050, 4 GB GDDR6|16 GB, 2 x 8 GB, DDR4, 3200 MHz|512 GB, M.2, PCIe NVMe, SSD|39.6-cm. display|Starting at 1.90 kg"
Inspiron 15 Plus Laptop,"₹ 94,990.00","11th Gen Intel® Core™ i5-11400H|Windows 11 Home Single Language|NVIDIA® GeForce RTX™ 3050, 4 GB GDDR6|8 GB, 1 x 8 GB, DDR4, 3200 MHz|512 GB, M.2, PCIe NVMe, SSD|39.6-cm. display|Starting at 1.90 kg"
Inspiron 15 Laptop,"₹ 86,990.01","11th Gen Intel® Core™ i7-11390H|Windows 11 Home Single Language|NVIDIA® GeForce® MX450 with 2GB GDDR5 graphics memory|16 GB, 2 x 8 GB, DDR4, 3200 MHz|512 GB, M.2, PCIe NVMe, SSD|39.6-cm. display|Starting at 1.64 kg"
Inspiron 16 Plus Laptop,"₹ 1,29,990.01","11th Gen Intel® Core™ i7-11800H|Windows 11 Home Single Language|NVIDIA® GeForce RTX™ 3050, 4 GB GDDR6|16 GB, 2 x 8 GB, DDR4, 3200 MHz|512 GB, M.2, PCIe NVMe, SSD|40.6-cm. display|Starting at 2.01 kg"
Inspiron 15 3000 Laptop,"₹ 58,489.99","AMD Ryzen™ 7 3700U Mobile Processor with Radeon™ Vega 10 Graphics|Windows 10 Home Single Language|AMD® Radeon™ RX Vega 10 Graphics|8 GB, 1 x 8 GB, DDR4, 2400 MHz|512 GB, M.2, PCIe NVMe, SSD|39.6-cm. display|Starting at 1.69 kg"
Inspiron 15 Laptop,"₹ 75,489.99","11th Gen Intel® Core™ i5-11320H|Windows 11 Home Single Language|NVIDIA® GeForce® MX450 with 2GB GDDR5 graphics memory|16 GB, 2 x 8 GB, DDR4, 3200 MHz|512 GB, M.2, PCIe NVMe, SSD|39.6-cm. display|Starting at 1.64 kg"
Inspiron 15 Laptop,"₹ 64,989.98","11th Gen Intel® Core™ i5-11320H|Windows 11 Home Single Language|Intel® Iris® Xe Graphics|8 GB, 2 x 4 GB, DDR4, 3200 MHz|512 GB, M.2, PCIe NVMe, SSD|39.6-cm. display|Starting at 1.64 kg"
Inspiron 14 Laptop,"₹ 68,990.01","AMD Ryzen™ 7 5700U 8-core/16-thread Mobile Processor with Radeon™ Graphics|Windows 11 Home Single Language|AMD® Radeon™ Graphics|16 GB, 2 x 8 GB, DDR4, 3200 MHz|512 GB, M.2, PCIe NVMe, SSD|35.5-cm. display|Starting at 1.44 kg"
Inspiron 16 Plus Laptop,"₹ 1,39,989.99","11th Gen Intel® Core™ i7-11800H|Windows 11 Home Single Language|NVIDIA® GeForce RTX™ 3050, 4 GB GDDR6|16 GB, 2 x 8 GB, DDR4, 3200 MHz|1 TB, M.2, PCIe NVMe, SSD|40.6-cm. display|Starting at 2.01 kg"
Inspiron 15 Laptop,"₹ 71,989.99","11th Gen Intel® Core™ i5-11320H|Windows 11 Home Single Language|NVIDIA® GeForce® MX450 with 2GB GDDR5 graphics memory|8 GB, 1 x 8 GB, DDR4, 3200 MHz|512 GB, M.2, PCIe NVMe, SSD|39.6-cm. display|Starting at 1.64 kg"
Inspiron 15 Laptop,"₹ 64,990.01","11th Gen Intel® Core™ i5-11320H|Windows 11 Home Single Language|Intel® Iris® Xe Graphics|8 GB, 2 x 4 GB, DDR4, 3200 MHz|512 GB, M.2, PCIe NVMe, SSD|39.6-cm. display|Starting at 1.64 kg"
Inspiron 15 3000 Laptop,"₹ 50,989.99","AMD Ryzen™ 5 3450U Mobile Processor with Radeon™ Vega 8 Graphics|Windows 10 Home Single Language|AMD® Radeon™ Vega 8 Graphics|8 GB, 1 x 8 GB, DDR4, 2400 MHz|256GB M.2 PCIe NVMe Solid State Drive (Boot) + 1TB 5400 rpm 2.5"" SATA Hard Drive (Storage)|39.6-cm. display|Starting at 1.69 kg"
